timestamps,X,Y,Z
1748875234.535,-3.671,4.329,0.598
1748875234.535,-6.131,5.488,1.989
1748875234.535,-7.970,6.767,2.707
1748875234.594,-9.413,7.439,3.260
1748875234.594,-10.011,7.791,3.671
1748875234.594,-9.570,7.537,3.454
1748875234.654,-8.097,6.737,2.632
1748875234.654,-5.952,5.750,2.049
1748875234.654,-4.067,4.636,1.062
1748875234.717,-2.318,3.566,0.075
1748875234.717,-0.807,2.826,-0.464
1748875234.717,-0.022,2.437,-0.830
1748875234.776,0.030,2.445,-0.979
1748875234.776,-0.374,2.744,-0.770
1748875234.776,-1.809,3.357,0.015
1748875234.834,-3.282,3.978,0.464
1748875234.834,-4.890,4.830,1.196
1748875234.834,-6.482,5.675,2.034
1748875234.897,-7.589,6.385,2.363
1748875234.897,-8.464,6.759,2.841
1748875234.897,-8.434,7.028,2.991
1748875234.956,-7.858,6.804,2.572
1748875234.956,-6.894,6.041,2.056
1748875234.956,-5.249,5.226,1.510
1748875235.015,-3.432,4.247,0.665
1748875235.015,-2.183,3.514,0.284
1748875235.015,-1.099,2.826,-0.381
1748875235.074,-0.546,2.609,-0.665
1748875235.074,-0.157,2.340,-1.092
1748875235.074,-1.144,3.043,-0.419
1748875235.134,-2.871,3.866,0.404
1748875235.134,-4.486,4.897,1.047
1748875235.134,-6.004,5.750,1.757
1748875235.183,-7.073,6.258,2.251
1748875235.183,-7.581,6.826,2.482
1748875235.183,-7.694,6.684,2.512
1748875235.240,-7.267,6.423,2.430
1748875235.240,-6.295,5.981,2.004
1748875235.240,-5.331,5.413,1.548
1748875235.300,-4.292,4.785,1.144
1748875235.300,-2.938,3.836,0.516
1748875235.300,-1.966,3.110,0.007
1748875235.376,-1.406,2.938,-0.097
1748875235.376,-1.443,2.901,-0.202
1748875235.376,-1.675,3.185,0.022
1748875235.421,-2.497,3.813,0.396
1748875235.421,-3.753,4.456,0.748
1748875235.421,-4.793,5.137,1.107
1748875235.480,-6.041,5.712,1.817
1748875235.480,-6.909,6.236,2.385
1748875235.480,-7.260,6.452,2.430
1748875235.540,-7.350,6.258,2.430
1748875235.540,-6.804,5.974,2.041
1748875235.540,-5.787,5.525,1.652
1748875235.602,-4.299,4.905,1.122
1748875235.602,-3.103,4.105,0.464
1748875235.602,-2.221,3.664,0.127
1748875235.659,-1.750,3.223,-0.179
1748875235.659,-1.308,3.095,-0.322
1748875235.659,-1.839,3.275,-0.172
1748875235.719,-2.908,3.978,0.404
1748875235.719,-4.209,4.494,0.994
1748875235.719,-5.032,5.114,1.600
1748875235.779,-5.540,5.578,1.779
1748875235.779,-6.363,5.742,1.862
1748875235.779,-6.460,5.914,1.832
1748875235.842,-6.744,6.049,2.161
1748875235.842,-6.310,5.869,1.832
1748875235.842,-5.563,5.600,1.503
1748875235.900,-4.471,4.852,1.166
1748875235.900,-3.798,4.381,0.778
1748875235.900,-3.155,4.030,0.531
1748875235.959,-2.609,3.746,0.307
1748875235.959,-2.228,3.589,0.067
1748875235.959,-2.325,3.574,0.127
1748875236.023,-2.647,3.649,0.322
1748875236.023,-3.125,4.082,0.688
1748875236.023,-4.546,4.875,1.107
1748875236.079,-5.495,5.451,1.675
1748875236.079,-6.011,5.892,1.936
1748875236.079,-6.938,6.064,2.034
1748875236.139,-6.804,6.094,2.198
1748875236.139,-6.415,6.004,2.101
1748875236.139,-5.570,5.510,1.525
1748875236.200,-4.643,4.823,1.092
1748875236.200,-3.649,4.217,0.688
1748875236.200,-3.125,3.694,0.426
1748875236.261,-2.647,3.499,0.336
1748875236.261,-2.475,3.776,0.224
1748875236.261,-2.879,3.918,0.314
1748875236.320,-3.193,4.023,0.471
1748875236.320,-3.671,4.351,0.725
1748875236.320,-4.456,4.688,1.234
1748875236.379,-5.039,5.219,1.391
1748875236.379,-5.682,5.503,1.645
1748875236.379,-5.959,5.795,1.667
1748875236.439,-6.064,5.712,1.622
1748875236.439,-5.697,5.421,1.675
1748875236.439,-5.256,5.159,1.630
1748875236.501,-4.942,4.965,1.406
1748875236.501,-4.292,4.658,1.136
1748875236.501,-3.858,4.344,0.965
1748875236.558,-3.208,3.955,0.718
1748875236.558,-2.572,3.791,0.314
1748875236.558,-2.617,3.753,0.232
1748875236.619,-2.662,3.933,0.135
1748875236.619,-3.417,4.396,0.718
1748875236.619,-4.718,4.837,1.323
1748875236.683,-5.376,5.383,1.525
1748875236.683,-5.570,5.720,1.802
1748875236.683,-5.802,5.585,1.869
1748875236.738,-5.892,5.750,1.727
1748875236.738,-5.458,5.473,1.608
1748875236.738,-5.294,5.323,1.600
1748875236.801,-4.800,5.069,1.331
1748875236.801,-4.120,4.561,1.226
1748875236.801,-3.469,4.075,0.845
1748875236.867,-2.841,3.888,0.329
1748875236.867,-2.826,3.873,0.568
1748875236.867,-3.058,4.142,0.591
1748875236.921,-3.469,4.180,0.793
1748875236.921,-3.821,4.329,0.852
1748875236.921,-4.658,4.449,1.548
1748875236.978,-4.426,5.047,0.994
1748875236.978,-4.643,5.062,1.406
1748875236.978,-5.518,5.069,2.011
1748875237.040,-5.839,5.286,2.191
1748875237.040,-5.301,5.323,1.608
1748875237.040,-5.144,5.301,1.346
1748875237.103,-5.525,5.540,1.779
1748875237.103,-4.733,5.084,1.301
1748875237.103,-3.282,4.284,0.553
1748875237.160,-3.051,4.277,0.568
1748875237.160,-3.409,4.135,0.763
1748875237.160,-3.305,4.165,1.032
1748875237.219,-3.507,4.426,0.950
1748875237.219,-3.880,4.456,0.733
1748875237.219,-4.486,4.666,1.211
1748875237.280,-4.778,4.995,1.353
1748875237.342,-4.927,5.181,1.555
1748875237.342,-5.376,5.196,1.488
1748875237.342,-4.957,5.084,1.413
1748875237.399,-3.933,4.830,1.077
1748875237.399,-3.596,4.561,0.957
1748875237.399,-3.791,4.396,1.151
1748875237.458,-4.359,4.419,1.151
1748875237.458,-4.389,4.636,0.890
1748875237.458,-3.843,4.456,0.770
1748875237.519,-3.716,4.374,0.725
1748875237.519,-4.000,4.307,0.748
1748875237.519,-4.120,4.516,0.994
1748875237.579,-4.097,4.613,0.905
1748875237.579,-4.419,4.823,0.815
1748875237.579,-5.204,5.144,1.391
1748875237.639,-5.638,5.189,1.765
1748875237.639,-5.346,5.376,1.241
1748875237.639,-5.062,5.503,1.181
1748875237.700,-5.652,5.518,1.817
1748875237.700,-5.623,5.331,1.757
1748875237.700,-4.322,4.987,0.882
1748875237.759,-3.888,4.523,0.673
1748875237.759,-4.082,4.523,0.935
1748875237.759,-3.559,4.112,0.755
1748875237.819,-2.295,3.424,-0.037
1748875237.819,-2.079,3.409,-0.142
1748875237.819,-3.447,3.978,0.546
1748875237.879,-4.666,4.583,1.316
1748875237.879,-4.785,4.912,1.264
1748875237.879,-4.381,4.748,0.882
1748875237.939,-4.419,4.785,0.979
1748875237.939,-5.525,5.204,1.660
1748875237.939,-6.550,5.929,2.146
1748875238.001,-6.542,6.004,2.108
1748875238.001,-6.034,5.630,1.936
1748875238.001,-5.122,5.017,1.503
1748875238.059,-4.366,4.591,1.391
1748875238.059,-3.918,4.449,0.950
1748875238.059,-3.522,4.404,0.680
1748875238.119,-3.006,4.157,0.553
1748875238.119,-2.445,3.791,0.396
1748875238.119,-2.460,3.342,0.396
1748875238.179,-1.720,3.260,-0.135
1748875238.179,-2.759,3.873,0.322
1748875238.179,-4.905,4.897,1.122
1748875238.228,-6.595,5.772,2.378
1748875238.228,-6.796,5.944,2.355
1748875238.228,-6.318,5.981,1.765
1748875238.299,-6.430,5.937,1.667
1748875238.299,-7.110,5.780,2.542
1748875238.299,-6.460,5.839,2.236
1748875238.359,-4.666,5.107,1.196
1748875238.359,-3.065,4.359,0.269
1748875238.359,-2.677,3.694,0.194
1748875238.420,-2.737,3.237,0.336
1748875238.420,-2.617,3.753,0.389
1748875238.420,-2.280,3.798,-0.037
1748875238.466,-2.325,3.806,0.052
1748875238.466,-2.923,3.806,0.755
1748875238.466,-3.686,4.314,0.800
1748875238.524,-4.875,5.451,1.279
1748875238.524,-6.408,6.153,1.839
1748875238.524,-7.559,6.475,2.325
1748875238.584,-7.596,6.467,2.370
1748875238.584,-6.490,6.056,2.026
1748875238.584,-5.735,5.578,1.772
1748875238.659,-5.495,5.346,1.488
1748875238.659,-4.389,4.793,1.346
1748875238.659,-2.849,4.008,0.366
1748875238.704,-1.667,3.477,-0.314
1748875238.704,-1.413,2.894,-0.336
1748875238.704,-1.966,3.290,0.090
1748875238.763,-3.088,4.090,0.538
1748875238.763,-3.828,4.576,0.897
1748875238.763,-4.651,4.800,1.077
1748875238.824,-5.466,5.047,1.391
1748875238.824,-6.213,5.488,2.079
1748875238.824,-6.901,6.206,2.131
1748875238.887,-7.424,6.295,2.079
1748875238.887,-6.924,5.981,2.041
1748875238.887,-5.652,5.413,1.667
1748875238.944,-4.576,4.763,1.211
1748875238.944,-3.611,4.449,0.905
1748875238.944,-3.357,4.082,0.665
1748875239.003,-2.647,3.656,0.336
1748875239.003,-1.772,3.185,-0.037
1748875239.003,-1.884,3.454,0.000
1748875239.078,-2.871,3.813,0.411
1748875239.078,-3.282,4.224,0.583
1748875239.078,-4.142,4.837,0.957
1748875239.125,-5.032,5.241,1.443
1748875239.125,-5.974,5.480,2.101
1748875239.125,-6.624,5.877,2.452
1748875239.184,-7.140,6.064,2.617
1748875239.184,-6.206,5.705,2.019
1748875239.184,-5.152,5.077,1.510
1748875239.243,-5.017,4.778,1.159
1748875239.243,-4.449,4.583,0.770
1748875239.243,-3.454,4.217,0.763
1748875239.309,-2.819,3.753,0.493
1748875239.309,-2.123,3.641,0.060
1748875239.309,-1.951,3.664,-0.150
1748875239.364,-2.437,3.753,0.396
1748875239.364,-3.439,4.284,0.546
1748875239.364,-4.000,4.598,0.979
1748875239.424,-5.054,5.428,1.443
1748875239.424,-5.787,5.593,1.974
1748875239.424,-5.959,5.705,1.974
1748875239.485,-6.146,5.660,1.794
1748875239.485,-5.877,5.630,1.727
1748875239.485,-5.645,5.503,1.854
1748875239.547,-4.920,4.927,1.600
1748875239.547,-4.105,4.613,1.114
1748875239.547,-3.604,4.404,0.718
1748875239.604,-3.140,4.120,0.598
1748875239.604,-2.923,3.880,0.396
1748875239.604,-3.073,4.045,0.411
1748875239.665,-3.297,4.277,0.553
1748875239.665,-3.507,4.486,0.718
1748875239.665,-4.052,4.636,0.935
1748875239.727,-5.002,5.009,1.293
1748875239.727,-5.727,5.458,1.555
1748875239.727,-6.041,5.690,1.981
1748875239.784,-6.176,5.750,2.123
1748875239.784,-5.862,5.600,1.817
1748875239.784,-5.062,5.264,1.465
1748875239.844,-4.262,5.054,1.054
1748875239.844,-4.180,4.837,0.793
1748875239.844,-3.791,4.576,0.822
1748875239.905,-3.350,4.359,0.598
1748875239.905,-3.058,3.963,0.553
1748875239.905,-2.991,3.925,0.508
1748875239.967,-2.819,3.880,0.606
1748875239.967,-3.499,4.239,0.867
1748875239.967,-4.643,4.860,1.241
1748875240.025,-5.421,5.264,1.495
1748875240.025,-5.406,5.353,1.570
1748875240.025,-5.353,5.338,1.712
1748875240.084,-5.660,5.548,1.570
1748875240.084,-5.735,5.615,1.495
1748875240.084,-5.750,5.735,1.480
1748875240.145,-5.406,5.077,1.391
1748875240.145,-4.112,4.187,1.136
1748875240.145,-2.908,3.679,0.553
1748875240.204,-3.185,3.828,0.561
1748875240.204,-3.469,3.940,0.546
1748875240.204,-3.686,4.404,0.845
1748875240.264,-3.402,4.494,0.755
1748875240.264,-3.522,4.314,0.576
1748875240.264,-4.456,4.598,1.024
1748875240.325,-4.995,5.092,1.368
1748875240.325,-5.271,5.323,1.540
1748875240.325,-5.660,5.510,1.570
1748875240.391,-6.079,5.383,1.645
1748875240.391,-5.615,5.189,1.608
1748875240.391,-5.047,5.062,1.421
1748875240.444,-4.531,4.748,1.346
1748875240.444,-4.045,4.703,1.107
1748875240.444,-3.843,4.464,0.957
1748875240.504,-3.507,4.269,0.875
1748875240.504,-3.507,4.075,0.718
1748875240.504,-3.507,4.120,0.770
1748875240.566,-3.342,4.247,0.531
1748875240.566,-3.671,4.232,0.994
1748875240.566,-4.486,4.860,1.189
1748875240.625,-5.159,5.286,1.338
1748875240.625,-5.660,5.495,1.436
1748875240.625,-5.959,5.540,1.540
1748875240.684,-5.443,5.241,1.465
1748875240.684,-4.980,5.256,1.488
1748875240.684,-4.860,5.294,1.473
1748875240.744,-4.793,5.054,1.286
1748875240.744,-4.351,4.636,1.136
1748875240.744,-3.529,4.187,0.807
1748875240.805,-3.065,4.045,0.770
1748875240.805,-3.260,4.322,0.531
1748875240.805,-3.611,4.351,0.673
1748875240.865,-3.596,4.329,0.785
1748875240.865,-3.708,4.583,0.935
1748875240.865,-4.329,4.793,1.114
1748875240.925,-4.516,4.927,1.084
1748875240.925,-4.995,5.204,1.279
1748875240.925,-5.533,5.368,1.346
1748875240.984,-5.585,5.331,1.510
1748875240.984,-5.331,5.630,1.637
1748875240.984,-4.987,5.346,1.465
1748875241.045,-4.404,4.666,1.256
1748875241.045,-3.738,4.449,0.935
1748875241.045,-3.148,4.127,0.636
1748875241.092,-3.013,3.843,0.606
1748875241.092,-3.103,3.970,0.568
1748875241.092,-3.574,4.351,0.665
1748875241.164,-3.888,4.456,0.740
1748875241.164,-3.903,4.651,0.628
1748875241.164,-4.651,4.748,1.241
1748875241.226,-5.316,5.219,1.660
1748875241.226,-5.630,5.705,1.712
1748875241.226,-5.854,5.802,1.854
1748875241.272,-5.690,5.264,1.675
1748875241.272,-5.226,4.882,1.443
1748875241.272,-4.830,4.793,1.323
1748875241.345,-4.247,4.673,0.972
1748875241.345,-3.925,4.613,0.785
1748875241.345,-3.761,4.299,0.927
1748875241.404,-3.073,4.060,0.688
1748875241.404,-3.006,4.052,0.621
1748875241.404,-3.656,4.322,0.942
1748875241.464,-4.344,4.636,0.950
1748875241.464,-4.553,4.845,1.114
1748875241.464,-4.486,4.740,1.226
1748875241.514,-5.077,4.950,1.256
1748875241.514,-5.742,5.286,1.690
1748875241.514,-6.019,5.593,1.892
1748875241.569,-5.533,5.181,1.548
1748875241.569,-4.740,4.710,1.264
1748875241.569,-3.978,4.239,0.912
1748875241.646,-3.387,4.157,0.643
1748875241.646,-3.499,4.314,0.695
1748875241.646,-3.454,4.366,0.815
1748875241.705,-3.507,4.419,0.755
1748875241.705,-3.365,4.037,0.516
1748875241.705,-3.641,4.366,0.852
1748875241.750,-4.411,4.778,1.077
1748875241.750,-5.002,5.166,1.518
1748875241.750,-5.152,5.323,1.593
1748875241.809,-5.107,5.204,1.495
1748875241.809,-4.957,5.062,1.510
1748875241.809,-4.987,5.084,1.331
1748875241.869,-4.830,5.181,1.308
1748875241.869,-4.658,5.039,1.256
1748875241.869,-4.494,4.643,1.241
1748875241.932,-3.529,4.194,0.800
1748875241.932,-3.477,4.381,0.897
1748875241.932,-4.165,4.837,1.286
1748875241.989,-4.307,4.643,1.211
1748875241.989,-3.701,4.890,0.411
1748875241.989,-4.008,4.748,0.830
1748875242.049,-4.621,4.688,1.323
1748875242.049,-4.486,4.613,1.331
1748875242.049,-4.030,4.718,0.770
1748875242.126,-4.411,4.987,1.054
1748875242.126,-4.890,4.980,1.383
1748875242.126,-4.344,4.591,1.136
1748875242.171,-3.866,4.329,0.905
1748875242.171,-3.791,4.651,0.725
1748875242.171,-4.411,4.830,1.211
1748875242.231,-4.830,4.845,1.533
1748875242.231,-4.464,4.912,1.062
1748875242.231,-3.851,4.808,0.733
1748875242.289,-4.090,4.501,1.151
